DONNEES PATRIMONIALES;;;;;;;;;;;;EQUIPEMENTS INDIVIDUELS GAZ;;;;;;;;;; EQUIPEMENTS COLLECTIFS ;;;;; Modèles des chaudières ; Radiateurs électriques ; Panneaux solaires photovoltaique ; Thermiques ;DONNEES TRAVAUX IMMEUBLE;;;;;;;
;;;;;;;;;;;;Chaudières standard ou Basse Température raccordées sur ;;;;Chaudières à condensation raccordées sur:;;;;Autres;;;;;;;;;;;;;;;;;;
HP2;Nom du groupe;Nombre de logements;Date de construction;Adresse;Code postal;Ville;DT;Nb d'équipements individuels gaz;Nb d'équipements collectifs;"Années (chaudières & chauffe-bains)
à titre indicatif";Années rempl des caissons;Conduit de fumées; Ventouse;DSC;3CE;Conduit tubé condens.;Ventouse;3CE;Solaire ventouse;"Chauffe-eau gaz / 
Chauffe bain gaz";Radiateur gaz; VMC Sanitaire ;" VMC individuelle /
Tourelles "; Astato mécanique ; VMC Gaz ; Conduit 3CE ;;;;;P3R;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;
118G0;GOUTTE D'OR 23/25 CHARTR;41;06/08/2003;23/25 Goutte d'Or 20/22 Chartres;75018;PARIS;NO;41;;2017;;0;0;0;0;0;0;41;0;0;0;3;;;0;4;4 colonnes 3CE;;;;2017;Chaudière individuelle haute performance énergétique;14/06/2017;23-25 RUE DE LA GOUTTE D'OR / 22 RUE DE CHARTRES;;;;
118G7;GOUTTE D'OR 52;13;14/05/1999;52 Goutte d'Or;75018;PARIS;NO;13;;2012;;0;0;13;0;0;0;0;0;0;0;0;;;1;0;0;;;;;;;;;;;
118GA;GARDES 32 CAVE40;7;15/02/2004;32 rue des Gardes 40 rue Cavé;75018;PARIS;NO;7;;2016;;0;7;0;0;0;0;0;0;0;0;1;;;0;0;"5 MIRA C GREEN
2 TALIA GREEN SYSTÈME";;;;2016;Chaudière individuelle haute performance énergétique;28/04/2017;32 RUE DES GARDES;;;;
118GC;GOUTTE D'OR 1/7-CHARBONN;19;24/01/2001;1/5 Goutte d'Or / 4/6 Rue de la Charbonnière;75018;PARIS;NO;19;;2015;;0;19;0;0;0;0;0;0;0;0;2;;;0;0;0;;;;2024;;;;;;;
118GH;GOUTTE D'OR 9 CHARBONNIE;12;24/10/2007;9 rue de la Goutte d'Or / 14 rue Charbonière;75018;PARIS;NO;11;;2021;;0;0;0;0;0;11;0;0;0;0;1;;;0;0;ELM Leblanc - EGALIS BALLON CONDENS;;;;2021;;;;;;;
118GI;GOUTTE D'OR 61-ISLETTE;17;15/10/1999;61 Rue de la Goutte d'Or;75018;PARIS;NO;23;;2012;;0;23;0;0;0;0;0;0;0;0;2;;;0;0;0;;;;;;;;;;;
118GP;GARDES-POLONCEAU;31;15/09/1998;15/17 Rue des Gardes;75018;PARIS;NO;31;;2011;;0;31;0;0;0;0;0;0;0;0;3;;;0;0;0;;;;;;;;;;;
118HE;HERMEL 47;15;01/01/1882;47 rue Hermel;75018;PARIS;NO;15;;2016;;0;0;0;0;0;9;6;0;0;0;2;;;0;2;0;;;;;;;;;;;
118HH;HENRI HUCHARD-BRISSON-VA;391;01/11/1930;2/14 Henri Brisson;75018;PARIS;NO;378;;2021;;17;;;;361;;;;;;;;;;;THEMAFAST CONDENS F25;;;;2021;;;;;;;
118I1;ISLETTES 1/5-CHAPELLE;26;13/09/1999;1/5 Rue des Islettes;75018;PARIS;NO;24;;2020;;0;;0;0;0;24;0;0;0;0;3;;;0;0;0;;;;;Isolation des toitures terrasses;30/06/2013;1/5 rue des Islettes, 116/118 Chapelle;;;;
118JV;JEAN VARENNE-PTE MONTMAR;258;01/01/1929;2/12 Jean Varenne 144/154 Ney;75018;PARIS;NO;254;;2014;;0;16;238;0;0;0;0;0;0;0;0;;;12;0;MEGALIA CGLA23-6HN5 VMC;;;;;Chaudière individuelle basse température;11/07/2014;2/12 rue Jean Varenne / 144/154 bd Ney / 5 av. de la Porte Montmartre;;;;
118LA;LAGHOUAT 16/18;14;03/10/2005;16/18 rue de Laghouat;75018;PARIS;NO;14;;2018;;0;0;0;0;0;14;0;0;0;0;2;;;0;0;"ELM: 5 MEGALIA CONDENS 
CHFT: 6 NIAGARA C GREEN
3 SERELIA GREEN";;;;2018;;;;;;;
118LO;LEON 11/13;15;03/02/2006;11/13 rue Léon;75018;PARIS;NO;15;;2021;;0;0;0;0;0;15;0;0;0;0;1;;;0;0;"ELM Leblanc -
Egalis condens (9) et Melia I condens (6)";;;;2021;;;;;;;
118M2;MYRHA 48;5;10/07/2007;48 Rue Myrha;75018;PARIS;NO;5;;2021;;0;0;0;0;0;5;0;0;0;0;1;;;0;0;"ELM Leblanc -
Egalis condens (4) et Melia I condens (1)";;;;2021;;;;;;;
118M3;MYRHA 19/23;20;28/02/2009;19/23 rue Myrha;75018;PARIS;NO;20;;2022;;0;0;0;0;0;20;0;0;0;0;1;;;0;0;ELM LEBLANC MELIA I CONDENS;;OUI;;2022;Chaudière   individuelle   à    haute   performance énergétique;11/07/2022;19-23 RUE MYRHA;;;;
118M6;MYRHA 60;12;20/02/2003;60/62 Rue Myrha;75018;PARIS;NO;12;;2021;;0;0;0;0;0;12;0;0;0;0;1;;;0;0;"Saunier Duval 
Isotwin condens (5) - ThemaFast condens (7)";;;;2021;;;;;;;
118M7;MYRHA 25/27;15;28/02/2009;25/27 rue Myrha;75018;PARIS;NO;14;;2022;;0;0;0;0;0;14;0;0;0;0;1;;;0;0;ELM LEBLANC MELIA I CONDENS;;;;2022;;;;;;;
118M8;MYRHA 52/58;21;10/07/2007;52/58 Rue Myrha;75018;PARIS;NO;21;;2021;;0;0;0;0;0;21;0;0;0;0;1;;;0;0;Saunier Duval - Isotwin condens ;;;;2021;;;;;;;
118M9;MYRHA 29/31Bis;12;23/12/2003;29/31 Rue Myrha;75018;PARIS;NO;12;;2017;;0;0;0;0;0;12;0;0;0;0;1;;;0;0;0;;;;2017;Chaudière individuelle haute performance énergétique;17/02/2017;29-31BIS RUE MYRHA;;;;
118ML;MONTCALM;44;01/01/1890;21 rue Montcalm 53 rue des CLoys;75018;PARIS;NO;39;;2010;;39;0;0;0;0;0;0;0;0;0;1;;;0;0;acleis nglm;;;;;;;;;;;
118MY;MYRHA 34-LEON 7;9;15/01/2000;34 Myrha 7 Léon;75018;PARIS;NO;9;;2012;;0;9;0;0;0;0;0;0;0;0;1;;;0;0;0;;;;;;;;;;;
118P5;POISSONNIERS 59;7;01/01/1850;59 Rue des Poissonnières;75018;PARIS;NO;7;;2013;;0;7;0;0;0;0;0;0;0;0;5;;;0;0;0;;;;;;;;;;;
118PB;PIERRE BUDIN 16;19;26/07/2007;14 rue Pierre Budin;75018;PARIS;NO;19;;2021;;0;0;0;0;0;19;0;0;0;0;1;;;0;0;Saunier Duval - Thema Fast Condens (10) Isotwin condens (9);;;;2021;;;;;;;
118PJ;POTEAU-ST-JULES;47;15/03/1998;11/21 Poteau Saint Jules;75018;PARIS;NO;47;;2018;;0;0;47;0;0;0;0;0;0;0;9;;;6;0;"MEGALIS CGLA 23-7MN5
EGALIS BALLON NGLB 23 VMC";;;;2018;Isolation des toitures terrasses;27/11/2017;11/21 PASSAGE DU POTEAU ;;;;
118PL;POLONCEAU 8;16;31/03/2010;8 rue Polonceau;75018;PARIS;NO;23;;2010;;0;0;0;0;0;23;0;0;0;0;4;;;0;0;0;;;;;;;;;;;
118PO;POTEAU 93;58;18/09/1998;93 r Poteau / Passage;75018;PARIS;NO;58;;2013;;0;0;58;0;0;0;0;0;0;0;0;;;5;0;MEGALIA CGLA23-6HN5 VMC;;;;;;;;;;;
118RE;RICHOMME 11;5 (Ateliers d'artiste);04/09/2004;11 Rue Richomme;75018;PARIS;NO;5;;2021;;0;0;0;0;0;0;5;0;0;0;1;;;0;2;ELM LEBLANC - MELIA I CONDENS ;;;;2021;;;;;;;
118RI;RICHOMME 2/10-GARDES 27;27;16/10/2000;8/10 Richomme 27 Gardes;75018;PARIS;NO;27;;2013;;0;27;0;0;0;0;0;0;0;0;3;;;0;0;0;;;;;;;;;;;
118RU;RUISSEAU 72;8;01/01/1860;72 rue du Ruisseau;75018;PARIS;NO;8;;2014;;0;0;0;0;0;8;0;0;0;0;1;;;0;0;THEMAPLUS CONDENS F 30 E NAT VV;;;;;;;;;;;
218L1;LETORT-A.MESSAGER-CHAMPI;234;21/02/1927;29 Letort 2/8 André Messager;75018;PARIS;NO;233;;2019;;0;2;0;0;0;231;0;0;0;0;13;;;0;0;MEGALIS CONDENS - ELEXIA 2 FF;;;;2019;Chaudière individuelle haute performance énergétique;11/12/2019;28 Letort 28 Andre Messager 97 Championnet;;;;
218L2;LETORT-A.MESSAGER-E.BLEM;276;11/02/1929;17/21 Letort 1/11 André Messager;75018;PARIS;NO;271;;2019;;0;5;0;0;0;266;0;0;0;0;14;;;0;0;MEGALIS CONDENS - ELEXIA 2 FF;;;;2019;;;;;;;
101JO;JOUR 17;9;01/01/1750;17 rue du Jour;75001;PARIS;SE;9;1;2013;;;;9;;;;;;;;;;;1;;;;;;;;;;;;;
101P8;PRECHEURS  8;8;01/01/1750;8 rue des Prêcheurs;75001;PARIS;SE;8;1;2013;;;;8;;;;;;;;;;;1;;;;;;;;;;;;;
101SD;SAINT DENIS 24;4;01/01/1750;24 rue Saint Denis;75001;PARIS;SE;4;0;2014;;4;;;;;;;;;;;;;;;;;;;;"Isolation de combles ou de toitures
Chaudière individuelle basse température";"11/03/2015
30/09/2014";24 rue Saint Denis;;;;
102BN;BONNE NOUVELLE  23;19;01/01/1880;23 Bld Bonne Nouvelle;75002;PARIS;SE;19;1;2017;;;;;;;19;;;;;1;;;;;Chaffoteaux MIRA C GREEN 25 EU et Niagara C Green 25 EU;;;;2017;Chaudière individuelle haute performance énergétique;01/07/2016;23 BD BONNE NOUVELLE;;;;
102SD;SAINT DENIS 156;21;01/01/1750;156 rue Saint Denis / escalier B;75002;PARIS;SE;21;0;2013;;21;;;;;;;;;;;;;;;;;;;;;;;;;;
103BE;BEAUMARCHAIS 93;29;01/01/1860;93 bd Beaumarchais;75003;PARIS;SE;29;2;2022;;;2;;;;22;;;;5;2;;;;;ATLANTIC NAIA;;;;2022;;;;;;;
103QU;QUINCAMPOIX - OURS;5;01/01/1700;111 Quincampoix 19 Ours;75003;PARIS;SE;5;1;2013;;;;5;;;;;;;;;;;1;;;;;;;;;;;;;
103SE;SEBASTOPOL 66 - BOURG L';22;01/01/1860;66 Sébastopol;75003;PARIS;SE;22;1;2016;;;;;;;22;;;;;1;;;;;MIRA C GREEN;;;;2016;Chaudière individuelle haute performance énergétique;01/07/2016;66 BD SEBASTOPOL;;;;
103SM;SAINT MARTIN 216/218/220;31;01/01/1700;216/220 rue Saint Martin;75003;PARIS;SE;16;4;2021;;;;;;;7;9;;;;2;;;;2;CM VENTOUSE BALIXIA & PRIMAXIA 24 FF ;;;;2021;Isolation de combles ou de toitures;"11/03/2015
09/07/2019";"216/218 rue Saint Martin
Parcelle 81 - Feuille 000 AV 01";;;;
103TU;TURENNE120  ;16;01/01/1910;120 rue de Turenne;75003;PARIS;SE;16;2;2016;;;;;;;16;;;;;2;;;;;;;;;;;;;;;;
104AU;AUBRY LE BOUCHER 23;6;01/01/1750;23 Aubry le Boucher;75004;PARIS;SE;5;1;2014;;;;5;;;;;;;;;;;1;;;;;;;Chaudière individuelle basse température;28/11/2014;23 rue Aubry le Boucher;;;;
104BE;BEAUMARCHAIS 27;41;01/01/1870;27 bd Beaumarchais;75004;PARIS;SE;41;6;2013;;;;;;;4;37;;;;3;;;;3;CM INOA 22 FF / URBIA GREEN & NIAGARA GREEN CONDENSATION;;;;;;;;;;;
104FM;FRANCOIS MIRON 64;8;01/01/1600;64 rue François Miron;75004;PARIS;SE;8;0;2013;;8;;;;;;;;;;;;;;;;;;;;Isolation de combles ou de toitures;01/08/2013;64/66 rue F. Miron;;;;
104J2;JOUY 12;7;01/01/1700;12 rue de Jouy;75004;PARIS;SE;7;0;2013;;7;;;;;;;;;;;;;;;;;;;;Isolation de combles ou de toitures;10/05/2013;12 rue de Jouy;;;;
104J4;JOUY  4;10;01/01/1700;4 rue de Jouy;75004;PARIS;SE;10;1;2013;;;;10;;;;;;;;;;;1;;;;;;;Isolation de combles ou de toitures;15/04/2013;4 rue de Jouy;;;;
104J6;JOUY  6/10;23;01/01/1700;6/10 rue de Jouy;75004;PARIS;SE;23;1;2013;;15;3;5;;;;;;;;;;;1;;;;;;;Isolation de combles ou de toitures;03/06/2013;6/8/10 rue de Jouy;;;;
104J8;JOUY 16/18;12;01/01/1700;16/18 rue de Jouy;75004;PARIS;SE;12;1;2013;;;;12;;;;;;;;;;;1;;;;;;;Isolation de combles ou de toitures;03/07/2013;16/18 rue de Jouy;;;;
104JF;JOUY - FRANCOIS MIRON;9;01/01/1650;20 Jouy 60/62 François Miron;75004;PARIS;SE;9;0;2013;;9;;;;;;;;;;;;;;;;;;;;Isolation de combles ou de toitures;01/08/2013;58/60/62 rue F. Miron - 20 rue de Jouy;;;;
104PL;PLATRE 13/15;25;01/01/1650;13/15 Plâtre;75004;PARIS;SE;23;0;2013;;23;;;;;;;;;;;;;;;;;;;;;;;;;;
104QU;QUINCAMPOIX 53;5;01/01/1650;53 Quincampoix;75004;PARIS;SE;5;1;2013;;;;5;;;;;;;;;;;1;;;;;;;;;;;;;
104RO;ROSIERS 12BIS/16BIS;38;01/01/1850;12BIS/16BIS Rosiers;75004;PARIS;SE;26;0;2014;;25;;;;;1;;;;;;;;;;;;;;;Chaudière individuelle basse température;30/09/2014;14 bis rue des Rosiers;;;;
104SC;SCHOMBERG 2/6 - MORLAND;67;01/01/1870;4/6 rueSchomberg;75004;PARIS;SE;66;3;2010;;;;66;;;;;;;;;;;3;;;;;;;;;;;;;
104SM;SAINT MERRI 16;19;01/01/1700;16 Saint Merri 5 Pierre au Lard;75004;PARIS;SE;19;2;2014;;;;19;;;;;;;;;;;2;;;;;;;Chaudière individuelle basse température;28/11/2014;16 rue Saint Merri;;;;
104TE;TEMPLE 36;19;01/01/1840;36 Temple;75004;PARIS;SE;19;2;2014;;;;19;;;;;;;;;;;2;;;;;;;Chaudière individuelle basse température;28/11/2014;36 rue du Temple;;;;
105HU;HUCHETTE 13;18;01/01/1730;13 Rue de la Huchette;75013;PARIS;SE;17;2;2020;;;0;;;;9;8;;;;2;;;;2;MEGALIA CONDENS ;;;;2020;;;;;;;
113D4;DUNOIS 41/43;23;01/04/1982;41/43 Rue Dunois;75013;PARIS;SE;23;2;2014;;;;23;;;;;;;;;;;2;;;;;;;Chaudière individuelle basse température;08/09/2014;41/43 rue Dunois;;;;
113I4;ITALIE 45/49;36;30/10/1998;45/49 Avenue d'Italie;75013;PARIS;SE;36;3;2011;;;;36;;;;;;;;;;;3;;;;;;;;;;;;;
113IB;BAUDRICOURT-AUMONT 5;81;01/10/1998;66 Baudricourt 5 Aumont;75013;PARIS;SE;81;5;2011;;;;81;;;;;;;;;;;5;;;;;;;;;;;;;
113JE;JEANNE D'ARC 107/121;188;01/06/1978;107/121 Rue Jeanne d'Arc;75013;PARIS;SE;1;0;2021;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
113OM;OLIVIER MESSIAEN 10/14;21;02/09/2003;10 / 14 Rue Olivier Messian;75013;PARIS;SE;23;1;2016;"P3R 2016 
1 caisson";;;;;;23;;;;;1;;;;;"10 NIAGARA C GREEN 
13 URBIA C 25 GREEN";;;;2016;Chaudière individuelle haute performance énergétique;31/10/2016;10/14 rue Olivier Messaien - rue René Goscinny - rue Franz;;;;
213CE;CHATEAU DES RENTIERS;285;01/11/1925;159/161 Château des Rentiers;75013;PARIS;SE;286;17;2003;;;286;;;;;;;;;17;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/12/2023;;;;;
213CR;CROULEBARBE-RECULETTES;146;01/11/1925;51-55 Rue Croulebarbe / 29 Rue des Reculettes;75013;PARIS;SE;145;0;2004;;144;1;;;;;;;;;;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/03/2025;;;;;
213SP;STEPHEN PICHON 9/11;69;01/10/1921;9/11 Rue Stephen Pichon;75013;PARIS;SE;69;3;2018;P3R 2018;;;;;;69;;;;;3;;;;;MEGALIA CONDENS;;;;2018;;;;;;;
213ST;STHRAU 5;119;01/09/1922;5/9 Sthrau 90 Nationale;75013;PARIS;SE;119;7;1997;;;119;;;;;;;;;7;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/05/2025;;;;;
213T1;TOLBIAC 118;60;01/06/1930;116/118 rue de Tolbiac;75013;PARIS;SE;55;3;2016;"P3R 2016 
2 caissons";;;46;;;9;;;;;;;;3;;"MEGALIA AGVC24-5MN et 
MEGALIA CGLA 23-7H 5 VMC";;;;2016;Chaudière individuelle haute performance énergétique;09/10/2017;116/118 RUE DE TOLBIAC;;;;
213TR;TOLBIAC 52-RICHEMONT;90;01/08/1931;50/56 Tolbiac 19BIS Richemont;75013;PARIS;SE;89;0;2018;;;;;;;89;;;;;;;;;;MEGALIA CONDENS;;;;2018;;;;;;;
117E3;EPINETTES 35;20;01/09/1955;35 rue des Epinettes;75017;PARIS;NO;20;2;2013;;;20;;;;;;;;;2;;;;;;;;;;;;;;;;
117B6;BAYEN 60;17;01/01/1890;60 rue Bayen;75017;PARIS;NO;17;10;2013;;;;;;;11;6;;;;;;8;;2;VIESSMANN TIRAGE NATUREL VITODENS / VITOPENT / DNS 100 ;;;;;;;;;;;
117BA;BATIGNOLLES 61;16;01/01/1850;61 Batignolles;75017;PARIS;NO;14;0;2014;;14;;;;;;;;;;;;;;;ELM LEBLANC ACLEIS NGLM 24- (ELM);;;;2014;;;;;;;
117BE;BESSIERES-GARNIER-PONT A;788;01/04/1933;24/42 Bessières,F Pelloutier;75017;PARIS;NO;493;0;2020;;;;;;473;20;;;;;;;;;;;;;;2020;"Isolation des toitures terrasses
Chaudière à haute performance énergétique";"17/09/2018
31/10/2018";"4 rue Fernand Pelloutier
4 rue Frédéric Brunet";;;;
117BN;BAYEN 62;11;01/01/1910;62 rue Bayen;75017;PARIS;NO;11;0;2013;;11;;;;;;;;;;;;;;; ELM TIRAGE NATUREL ACLEIS GLM 23 2H / EGALIS BALLON ;;;;;;;;;;;
117CH;CHAMPERRET16-JACQUES IBE;41;01/12/1987;16 Porte de Champerret;75017;PARIS;NO;41;2;2012;;;;41;;;;;;;;;;;2;;;;;;2023;Fenêtre ou porte-fenêtre complète avec vitrage isolant;23/12/2016;16 AVENUE DE LA PORTE DE CHAMPERRET;;;;
117CP;CAPORAL PEUGEOT 11-JACQU;60;01/12/1987;29/33 Jacques Ibert;75017;PARIS;NO;60;3;2014;;;;60;;;;;;;;;;;3;;;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;07/11/2016;29/31 RUE JACQUES IBERT;;;;
117ER;ERNEST ROCHE 7 FOYER;100;01/04/1921;7 rue Ernest Roche;75017;PARIS;NO;101;40;2013;;;51;;;;50;;;;;;;40;;;;;;;2023;Chaudière individuelle haute performance énergétique;23/12/2016;7 RUE ERNEST ROCHE;;;;
117MT;MONTENOTTE 2/2BIS-TERNES;18;01/01/1850;2BIS Montenotte 23 Ternes;75017;PARIS;NO;18;1;2016;;;;18;;;;;;;;;;;1;;THEMAFAST (SD) avec bouches BAZ pilotées;;;;2016;;;;;;;
117P6;POUCHET 62/66;111;01/07/1934;62/66 Pouchet;75017;PARIS;NO;110;34;2018;;108;;;;2;;;;;;;;34;;;"Inoa 25 CF EU; Mira C 25 CF EU; Mira C Green Ultra 25";;;;2018;;;;;;;
117PB;PAUL BROUSSE-BESSIERES-E;243;01/01/1960;2 Dr Paul Brousse 3 Ernest Roche;75017;PARIS;NO;24;0;2018;;;;;;;;;;24;;;;;;;;;;;2018;;;;;;;
117PD;POUCHET 82 - DELIGNY 11;7;01/01/1850;82 rue Pouchet ;75017;PARIS;NO;7;2;2021;;;1;;;;1;5;;;;1;;;;1;CM URBIA GREEN CONDENSATION / NIAGARA C GREEN CONDENSATION ;;;;2021;;;;;;;
117PR;PIERRE REBIERE 3/19;195;01/04/1957;17/19 rue Pierre Rebière;75017;PARIS;NO;195;0;2016;;195;;;;;;;;;;;;;;;;;;;2015-2016;;;;;;;
117SO;ST-OUEN-BESSIERES-ANDRE;347;01/09/1954;1/11 Pte St Ouen 2/22 Bessières;75017;PARIS;NO;16;0;2018;;;;;;;;;;16;;;;;;;Opalia C11 (SD);;;;2018;;;;;;;
217JK;JACQUES KELLNER 20/24;45;01/01/1927;20/22 Jacques Kellner;75017;PARIS;NO;45;3;2020;;;;;;;45;;;;;3;;;;;;;;;2020;Isolation de combles ou de toitures;17/10/2017;20/22 RUE JACQUES KELLNER;;;;
112CA;CHARENTON 107;19;01/10/1984;107 rue de Charenton;75012;PARIS;ES;19;1;2014;;;;19;;;;;;;;;;;1;;;;;;;"Fenêtre ou porte-fenêtre complète avec vitrage isolant
Chaudière individuelle basse température
Isolation des toitures terrasses";"05/12/2014
11/06/2014
01/07/2016";107 rue de Charenton;;;;
119CD;CRIMEE 165/177-DUVERGIER;128;01/08/1989;167/177 Crimée 6/8 Duvergier;75019;PARIS;NE;130;8;2018;3 sanitaires P3R2018;;;23;;;107;;;;;7;;;1;;"ELM LEBLANC 
EGALIS  CONDENS
MEGALIA CONDENS
MEGALIA VMC ";;;;2018;Chaudière individuelle haute performance énergétique;19/11/2018;167177 rue de Crimée  68 rue Duvergier;;;;
119CM;CHAUFOURNIERS-MATHURIN;75;01/10/1955;3 avenue Mathurin Moreau;75019;PARIS;NE;30;1;2019;;;;30;;;;;;;;;;;1;;;;;;2019;;;;;;;
119CP;CRIMEE-PETIT;166;01/01/1988;"105 Crimée
40 Petit
3/7 passage Dubois";75019;PARIS;NE;116;6;2017;;;;116;;;;;;;;;;;6;;Inoa 24 VMC EU  et Niagara C 24 VMC (ballon intégré);;;;2017;;;;;;;
119DP;DR POTAIN-BOIS;12;01/09/1986;34 Docteur Potain;75019;PARIS;NE;12;1;2017;;;;12;;;;;;;;;;;1;;;;;;2017;;;;;;;
119FA;FLANDRE 156/160-ARGONNE;40;15/02/1999;156/160 Flandre 30 Argonne;75019;PARIS;NE;40;2;2013;;;1;39;;;;;;;;;;;2;;;;;;;;;;;;;
119FG;FLANDRE 13-GASTON REBUFF  ;127;01/05/1993;13/15 Flandre 14TER Tanger;75019;PARIS;NE;70;7;2019;;;;70;;;;;;;;3;;;4;;ACLEA VMC BAS NOX ;;;;2019;;;;;;;
119FK;FLANDRE 167/171-ALPHONSE KARR;88;01/02/1990;159/171 Flandre 11 Alphonse Karr;75019;PARIS;NE;88;3;2014;;;7;81;;;;;;;;;;;3;;;;;;;Chaudière individuelle basse température;31/10/2014;159/171 avenue de Flandre;;;;
119HU;HAUTPOUL 76/78;20;01/06/2000;76/78 rue Hautpoul ;75019;PARIS;NE;20;1;2017;1 Caisson en 2017;;;20;;;;;;;;;;;1;;;;;;2017;;;;;;;
119LG;LEON GIRAUD 19/25-OURCQ;60;01/08/1986;19/23 Léon Giraud 21 Ourcq;75019;PARIS;NE;60;4;2013;;;;60;;;;;;;;;;;4;;;;;;;;;;;;;
119M3;MEAUX 33                ;12;01/01/1850;33 rue de Meaux;75019;PARIS;NE;12;1;2017;1 Caisson en 2017;;;12;;;;;;;;;;;1;;Inoa 24 VMC EU;;;;2017;;;;;;;
119MA;MAROC 31;14;05/11/1997;31 Maroc;75019;PARIS;NE;14;1;2013;;;;14;;;;;;;;;;;1;;;;;;;;;;;;;
119S5;SOLITAIRES 5/7;22;01/01/1850;5/7 Solitaires;75019;PARIS;NE;22;2;2013;;18;;4;;;;;;;;;;;2;;;;;;;;;;;;;
119SE;SERURIER-ALPHONSE AULARD ;41;01/01/1940;52/52BIS Sérurier;75019;PARIS;NE;41;1;2014;;;;41;;;;;;;;;;;1;;;;;;;Chaudière individuelle basse température;08/09/2014;52/52 bis bd Serrurier;;;;
120BB;BAGNOLET-BALKANS;39;01/10/1986;"138/142 Bagnolet
23 Balkans";75020;PARIS;ES;39;2;2020;;;;29;;;10;;;;;;;;2;;MEGALIA CONDENS - ACLEA VMC BAS NOX ;;;;2020;Fenêtre ou porte-fenêtre complète avec vitrage isolant;18/12/2013;142 rue de Bagnolet, 23 rue des Balkans, 5 place Pierre Vaudrey;;;;
120BG;ST BLAISE-GALLERON;30;01/09/1985;22/26 Saint Blaise;75020;PARIS;ES;30;5;2012;1 caisson gaz P3R2018;;;30;;;;;;;;;;;5;;SD- thema plus c25 E;;;;2018;;;;;;;
120BR;ST BLAISE 15/19;15;01/01/1800;15/19 Saint Blaise;75020;PARIS;ES;15;1;2012;;11;;4;;;;;;;;;;;1;;SD- themaplus c25 e;;;;;;;;;;;
120BS;BAGNOLET-ST-BLAISE;14;01/12/1984;"120BIS Bagnolet 
2/4 Saint Blaise";75020;PARIS;ES;14;2;2014;;;;14;;;;;;;;;;;2;;ELM- MEGALIA CGLA23-6H.5;;;;;Chaudière individuelle basse température;12/06/2014;2/4 rue Saint Blaise;;;;
120DB;DEBROUSSE;210;01/01/1985;183 Bld Davout;75020;PARIS;ES;210;22;DDR;;;18;192;;;;;;;;;;;22;;SD- THEMA PLUS  ;;;;;PLAN CLIMAT;01/11/2021;;;;;
120DT;DAVOUT-FELIX TERRIER;728;01/08/1932;"94/110 Davout 
1 Eugène Reisz";75020;PARIS;ES;719;40;2005 - Plan Climat 2016 -2017;;;9;710;;;;;;;;;;;40;;;;;;;REHABILITATION ET PLAN CLIMAT;15/03/2025;;;;;
120FL;FLORIAN 10/18;16;01/05/1986;12 Florian;75020;PARIS;ES;16;2;2018;1 caisson gaz P3R2018;;;12;;;4;;;;;;;;2;;"ELM:  EGALIS VMC; MEGALIA VMC ; MEGALIA CONDENS 
 ";;;;2018;;;;;;;
120LP;LYANES 7/15-PELLEPORT;88;01/10/1985;"11/15 Lyanes
8/16 Pelleport";75020;PARIS;ES;68;3;(DDR 2024) 2013;;;;68;;;;;;;;1;;;2;;Chaff- inoa evo 24 vmc;;;;;REHABILITATION ET PLAN CLIMAT;15/12/2027;;;;;
120P1;PYRENEES 146/154;36;01/05/1986;146/152 Pyrénées;75020;PARIS;ES;36;1;2014;;;;36;;;;;;;;;;;1;;;;;;;Chaudière individuelle basse température;23/10/2014;148/152 rue des Pyrénées;;;;
120PB;P.BONNARD-BAGNOLET-ST-BLAISE;62;01/04/1989;"4/14 Pierre Bonnard 
116 Bagnolet";75020;PARIS;ES;62;5;2019;;;;62;;;;;;;;;;;5;;NIAGARA C NOX VMC - INOA C NOX VMC;;;;2019;;;;;;;
120PF;P.BONNARD 3/17;37;01/06/1987;"5/17 Pierre Bonnard 
28 Florian";75020;PARIS;ES;37;4;2018;2 caissons gaz P3R2018;;;34;;;3;;;;;;;;4;;"ELM: 17 MEGALIA VMC; 3 MEGALIA CONDENS; 1 EGALIA VMC; CFF 9 Serelia vmc 
";;;;2018;;;;;;;
120PR;PYRENEES 53;18;01/05/2000;53 rue des Pyrénées;75020;PARIS;ES;18;2;2012;;;;18;;;;;;;;;;;2;;;;;;;;;;;;;
120PV;PLANCHAT 26BIS-VIGNOLES;26;28/05/1998;"26BIS Planchat 
11/13 Vignoles";75020;PARIS;ES;26;1;2012;;;;26;;;;;;;;;;;1;;;;;;;;;;;;;
120R1;REPOS 10/12;27;01/11/1986;10/12 Repos;75020;PARIS;ES;27;2;2017;2 caissons en 2017;;;27;;;;;;;;;;;2;;;;;;2017;;;;;;;
120R8;RIBLETTE 8;15;15/09/1983;8 Riblette;75020;PARIS;ES;15;2;2013;;;;15;;;;;;;;;;;2;;;;;;;;;;;;;
