DONNEES PATRIMONIALES;;;;;;;;;;;;EQUIPEMENTS INDIVIDUELS GAZ;;;;;;;;;; EQUIPEMENTS COLLECTIFS ;;;;; Modèles des chaudières ; Radiateurs électriques ; Panneaux solaires photovoltaique ; Thermiques ;DONNEES TRAVAUX IMMEUBLE;;;;;;;
;;;;;;;;;;;;Chaudières standard ou Basse Température raccordées sur ;;;;Chaudières à condensation raccordées sur:;;;;Autres;;;;;;;;;;;;;;;;;;
HP2;Nom du groupe;Nombre de logements;Date de construction;Adresse;Code postal;Ville;DT;Nb d'équipements individuels gaz;Nb d'équipements collectifs;"Années (chaudières & chauffe-bains)
à titre indicatif";Années rempl des caissons;Conduit de fumées; Ventouse;DSC;3CE;Conduit tubé condens.;Ventouse;3CE;Solaire ventouse;"Chauffe-eau gaz / 
Chauffe bain gaz";Radiateur gaz; VMC Sanitaire ;" VMC individuelle /
Tourelles "; Astato mécanique ; VMC Gaz ; Conduit 3CE ;;;;;P3R;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;
120V6;VOLGA 6/8;38;19/10/2000;6/8 Volga;75020;PARIS;ES;38;6;2014;;;38;;;;;;;;;6;;;;;;;;;;Chaudière individuelle basse température;01/07/2014;6 rue de la Volga;;;;
120VL;VIGNOLES PLANCHAT 15/31;99;30/06/2008;"15/31 rue des Vignoles
26/30 et 34 rue de Terre Neuve";75020;PARIS;ES;84;42;2008;;;42;;;;42;;;;;;42;;;;;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;12/10/2022;15-31 rue des Vignoles et 34 rue de Terre Neuve;;;;
120VS;VICTOR SEGALEN 1/3;48;01/02/1980;1/3 Victor Segalen;75020;PARIS;ES;48;3;2012;;48;;;;;;;;;;3;;;;;;;;;;;;;;;;
212A3;ABEL 13;36;01/03/1928;13 rue Abel;75012;PARIS;ES;37;0;2002 - plan climat 2019;;36;1;;;;;;;;;;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/12/2025;;;;;
212A4;ABEL 14;147;01/02/1923;14 rue Abel;75012;PARIS;ES;147;0;2002 - plan climat 2019;;133;14;;;;;;;;;;;;;;;;;;;;;;;;;
120E1;ENVIERGES 1/3;10;01/01/1860;1/3 rue des Envierges;75020;PARIS;ES;10;1;2019;;;;9;;;1;;;;;;;;1;;2  INOA EVO 24 VMC- 7 ACLES VMC  BAS NOX -1 MEGALIS CONDENS ;;;;2019;;;;;;;
120AO;AVRON 147;7;01/01/1890;147 rue d'Avron;75020;PARIS;ES;7;1;2016;;;;;;;7;;;;;1;;;;;;;;;;;;;;;;
120B3;BOYER 13/17;62;01/04/1987;13/17 Boyer;75020;PARIS;ES;62;4;2022;;;;62;;;;;;;;;;;4;;THEMA C25EV;;;;2022;Isolation des toitures terrasses;16/10/2017;13/17 RUE BOYER;;;;
120B4;BELLEVILLE 114;8;01/01/1900;114 rue de Belleville;75020;PARIS;ES;8;0;2017;;;;;;;8;;;;;;;;;;Mira C Green 25 EU;;;;2017;Chaudière individuelle haute performance énergétique;18/09/2017;114 BD DE BELLEVILLE;;;;
120B7;BELLEVILLE 74;5;01/01/1850;74 rue de Belleville;75020;PARIS;ES;5;0;2013;;5;;;;;;;;;;;;;;;;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;26/11/2019;74 rue de Belleville 75020 - 74 rue de Belleville;;;;
120B8;BELLEVILLE 18;23;01/01/1850;18 rue de Belleville;75020;PARIS;ES;13;0;2015;;;13;;;;;;;;;;;;;;;;;;;;;;;;;
120BM;MENILMONTANT 58/58BIS   ;10;01/01/1870;58/58BIS boulevard de Ménilmontant;75020;PARIS;ES;10;0;2006;;;10;;;;;;;;;;;;;;ELM - ACLEIS AGVM C 24-1H;;;;2023;Chaudière   individuelle   à    haute   performance énergétique;16/06/2023;58 bis boulevard de Menilmontant;;;;
120C4;CASCADES 43/45;15;01/03/1986;43/45 rue des Cascades;75020;PARIS;ES;15;1;2015;;;;15;;;;;;;;;;;1;;;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;14/11/2017;43/45 RUE DES CASCADES;;;;
